Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.86.21-64.4.54.254-63070-443-6,192.168.86.21,63070,64.4.54.254,443,6,23/01/2019 04:11:34 AM,388060,8,7,1177.0,4032.0,765.0,0.0,147.125,269.8493958276939,1448.0,0.0,576.0,654.0405186225086,13423.181982167705,38.65381642014121,27718.571428571428,43744.79097554937,123156.0,492.0,178096.0,25442.285714285717,40061.62793211764,91071.0,492.0,388060.0,64676.66666666667,51214.27227508624,124918.0,1576.0,0,0,0,0,256,244,20.615368757408646,18.038447662732565,0.0,1448.0,325.56250000000006,508.3363674772837,258405.86250000002,0,1,0,0,0,0,0,0,0.0,347.26666666666665,147.125,576.0,0,0,0,0,0,0,8,1177,7,4032,-1,1025,3,0,0,0,0,0,0,0,0,0,No Label
192.168.86.21-64.4.54.254-63070-443-6,192.168.86.21,63070,64.4.54.254,443,6,23/01/2019 04:11:34 AM,1172,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,26450.51194539249,2559.726962457338,586.0,80.61017305526642,643.0,529.0,643.0,643.0,0.0,643.0,643.0,0,0,0,0,0,0,0,0,0,64,32,1706.4846416382252,853.2423208191126,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,2043,1,0,0,0,0,0,0,0,0,0,No Label
162.254.195.45-192.168.86.21-27018-52731-17,192.168.86.21,52731,162.254.195.45,27018,17,23/01/2019 04:11:31 AM,478481,0,2,0.0,120.0,0,0,0,0,84.0,36.0,60.0,33.94112549695428,250.79365742840363,4.179894290473394,478481.0,0.0,478481.0,478481.0,0,0,0,0,0,478481.0,478481.0,0.0,478481.0,478481.0,0,0,0,0,0,16,0.0,4.179894290473394,36.0,84.0,68.0,27.712812921102035,768.0,0,0,0,0,0,0,0,0,0.0,102.0,0.0,60.0,0,0,0,0,0,0,0,0,2,120,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.86.29-255.255.255.255-17500-17500-17,192.168.86.29,17500,255.255.255.255,17500,17,23/01/2019 04:11:34 AM,5031,4,1,664.0,166.0,166.0,166.0,166.0,0.0,166.0,166.0,166.0,0.0,164977.14172132776,993.8382031405288,1257.75,111.0836771687602,1411.0,1147.0,3620.0,1206.6666666666667,53.407240457950394,1250.0,1147.0,0,0,0,0,0,0,0,0,0,32,8,795.070562512423,198.76764062810574,166.0,166.0,166.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,199.2,166.0,166.0,0,0,0,0,0,0,4,664,1,166,-1,-1,4,0,0,0,0,0,0,0,0,0,No Label
172.217.14.206-192.168.86.21-443-63069-6,192.168.86.21,63069,172.217.14.206,443,6,23/01/2019 04:11:28 AM,563147,14,12,2076.0,1629.0,1141.0,0.0,148.28571428571428,319.566395790736,494.0,0.0,135.75,198.61343221077837,6579.099240518018,46.169117477319425,22525.88,52802.473425588694,250015.0,707.0,456657.0,35127.46153846154,93653.69978153148,340248.0,707.0,563147.0,51195.18181818182,72126.63141838551,250015.0,1479.0,0,0,0,0,448,404,24.860294026248923,21.308823451070502,0.0,1141.0,137.22222222222223,261.8047324796058,68541.71794871795,0,1,0,0,0,0,0,0,0.0,142.5,148.28571428571428,135.75,0,0,0,0,0,0,14,2076,12,1629,-1,258,7,0,0,0,0,0,0,0,0,0,No Label
192.168.86.21-34.232.24.250-63058-443-6,192.168.86.21,63058,34.232.24.250,443,6,23/01/2019 04:11:33 AM,3125965,13,10,217.0,594.0,56.0,0.0,16.69230769230769,26.081234043479792,171.0,40.0,59.4,40.828094902081006,259.4398849635233,7.3577279336141,142089.31818181818,336710.0605369532,1517789.0,922.0,2993380.0,249448.3333333333,433157.19751008163,1517789.0,922.0,3124564.0,347173.77777777775,545279.007846391,1648835.0,1372.0,0,1,0,0,416,320,4.158715788564492,3.199012145049609,0.0,171.0,37.04166666666667,39.134638461805565,1531.5199275362313,0,0,0,1,1,0,0,0,0.0,38.65217391304348,16.692307692307693,59.4,0,0,0,0,0,0,13,217,10,594,-1,126,4,0,0,0,0,0,0,0,0,0,No Label
162.125.34.129-192.168.86.21-443-62944-6,162.125.34.129,443,192.168.86.21,62944,6,23/01/2019 04:11:34 AM,146104,2,4,0.0,1308.0,0.0,0.0,0.0,0.0,584.0,0.0,327.0,256.5657810387036,8952.526967091933,41.06663746372447,29220.8,35453.98617504103,69478.0,1101.0,67492.0,67492.0,0.0,67492.0,67492.0,79713.0,26571.0,38238.64444511599,70579.0,1458.0,0,1,0,0,64,128,13.688879154574822,27.377758309149645,0.0,584.0,223.57142857142856,238.5210383053992,56892.28571428572,0,0,0,1,1,0,0,0,2.0,260.8333333333333,0.0,327.0,0,0,0,0,0,0,2,0,4,1308,-1,2048,0,0,0,0,0,0,0,0,0,0,No Label
192.168.86.21-192.168.86.22-60604-8009-6,192.168.86.21,60604,192.168.86.22,8009,6,23/01/2019 04:11:27 AM,5034683,3,3,117.0,351.0,117.0,0.0,39.0,67.54998149518622,117.0,117.0,117.0,0.0,92.95520691173604,1.191733421945334,1006936.6,2232510.7898096037,5000552.0,1236.0,5018543.0,2509271.5,3523202.6707756254,5000552.0,17991.0,5033447.0,2516723.5,3538207.476672404,5018614.0,14833.0,0,1,0,0,96,96,0.595866710972667,0.595866710972667,0.0,117.0,83.57142857142857,57.09015426748919,3259.285714285714,0,0,0,1,1,0,0,0,1.0,97.5,39.0,117.0,0,0,0,0,0,0,3,117,3,351,-1,277,1,0,16140.0,0.0,16140.0,16140.0,5000552.0,0.0,5000552.0,5000552.0,No Label
192.168.86.21-52.84.19.49-63068-443-6,192.168.86.21,63068,52.84.19.49,443,6,23/01/2019 04:11:28 AM,251319,10,8,1704.0,764.0,1005.0,0.0,170.39999999999998,333.2743947893721,502.0,0.0,95.5,172.33107670991905,9820.188684500574,71.62212168598474,14783.470588235296,25615.85481473741,79286.0,447.0,200324.0,22258.222222222223,32167.03337571627,82189.0,872.0,248800.0,35542.85714285714,33487.41017371838,80788.0,447.0,0,0,0,0,320,276,39.79006760332486,31.832054082659884,0.0,1005.0,129.89473684210523,263.55220750711106,69459.76608187133,0,1,0,0,0,0,0,0,0.0,137.11111111111111,170.4,95.5,0,0,0,0,0,0,10,1704,8,764,-1,126,5,0,0,0,0,0,0,0,0,0,No Label
192.168.86.21-64.71.168.222-63066-443-6,192.168.86.21,63066,64.71.168.222,443,6,23/01/2019 04:11:31 AM,67415,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29.666988059037305,67415.0,0.0,67415.0,67415.0,0,0,0,0,0,67415.0,67415.0,0.0,67415.0,67415.0,0,0,0,0,0,52,0.0,29.666988059037305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,67,0,0,0,0,0,0,0,0,0,0,No Label
